date,hour,minute,bid,ask,bidsize,ofrsize,bid_u_sequence,ask_u_sequence,bid_v_sequence,ask_v_sequence,bid_section_volatility,ask_section_volatility,bid_volume_std,ask_volume_std
2010-01-04,9,30,57.642390909092605,57.636615909089386,3.7621969696969697,4.943863636363637,,,,,,,,
2010-01-04,9,40,57.93237679588096,57.96372512877028,5.8036866359447,5.281919219300623,0.005018162719784872,0.005659327469067872,0.433490255298101,0.06614238204278397,,,,
2010-01-04,9,50,58.094930369073666,58.08759320551765,5.609005183288578,6.840754387060513,0.00280199004040102,0.002134712910877166,-0.03411996788632789,0.25860849588269746,,,,
2010-01-04,10,0,58.28987137170557,58.3153897679805,3.3225900398019608,4.50116493544316,0.003349942295218839,0.003913934977315681,-0.5236287633741512,-0.41856177824186536,,,,
2010-01-04,10,10,58.27148975647789,58.28732122148717,3.9018167761886353,3.624661770390414,-0.00031539809079352764,-0.00048143901282048703,0.1606976734604749,-0.21657525858336976,,,,
2010-01-04,10,20,58.27187032630047,58.19422161794405,4.136301835486064,4.349762066621346,6.53095675826195e-06,-0.0015985300520310612,0.058359827461238765,0.1823601670426169,,,,
2010-01-04,10,30,58.38166432912856,58.36973539036129,4.210191678354371,5.324731182795699,0.0018823953440046928,0.0030114609964337767,0.017706063782771418,0.20224108194091747,,,,
2010-01-04,10,40,58.31315312724803,58.090911574408246,4.288569374550683,4.12508986340762,-0.0011741945571439023,-0.004788301558596901,0.01844502223949355,-0.2552744235992634,,,,
2010-01-04,10,50,58.587790985166784,58.62942848992103,3.204640547736782,4.74657664511221,0.004698650901002065,0.009227538856097587,-0.29135326770700076,0.1403358473028866,,,,
2010-01-04,11,0,58.76875468867106,58.77875361697625,4.370271139213375,5.402743543028614,0.003084000911835545,0.00254369337624289,0.31022512227865434,0.12948323615271887,,,,
2010-01-04,11,10,58.72754730582082,58.723422238237625,4.63200576680483,4.645882140926293,-0.0007014243655372145,-0.0009417933314971984,0.058164932492990616,-0.1509256219061954,,,,
2010-01-04,11,20,58.7440092223312,58.687848953143444,4.454137587238285,4.350324027916251,0.0002802706817660852,-0.000605960327687852,-0.03915652619067872,-0.06573093466471565,,,,
2010-01-04,11,30,58.89399872551232,58.923518400512975,6.793930221443365,13.021825712920185,0.0025500191149852563,0.0040076017836301134,0.42219613999924804,1.0963765191740227,,,,
2010-01-04,11,40,58.8893525471888,58.939131317235635,3.9534537582030986,4.163859008186185,-7.889363438425049e-05,0.00026493408813337016,-0.5414400330305636,-1.1401845602026417,,,,
2010-01-04,11,50,58.87988735656465,58.92772607643499,4.224865775344773,5.094641541214865,-0.00016074130481376467,-0.00019352752908556763,0.06639792511498892,0.20174701871391298,,,,
2010-01-04,12,0,58.92478521069446,58.934422856205295,4.741596983111986,4.834808985079521,0.0007622423682392693,0.00011363749665442495,0.11538650407647469,-0.05234768776838145,,,,
2010-01-04,12,10,58.83102436160842,58.82706780158453,5.258291752274729,4.807455239213384,-0.001592462728435821,-0.0018232629998317044,0.1034322168462921,-0.005673733598061112,,,,
2010-01-04,12,20,58.8525549768529,58.89187065972259,6.401909722222222,5.118055555555555,0.00036590687682570963,0.0011009760286827838,0.19679012787409633,0.06260670479192303,,,,
2010-01-04,12,30,58.79186678749191,58.80337713336471,5.5330010572421084,5.748376378190605,-0.0010317224367145307,-0.001503774276249368,-0.14586598495686784,0.11614285331195842,,,,
2010-01-04,12,40,58.722014138657876,58.739159121915996,4.932407292571003,4.5495473148952,-0.0011888409524162037,-0.0010926770832753194,-0.11490319147860191,-0.2338897091438403,,,,
2010-01-04,12,50,58.58236960985614,58.654342915809956,4.994866529774128,4.388295687885011,-0.002380893028984518,-0.0014449900444536248,0.012583527460856156,-0.03608681106789821,,,,
2010-01-04,13,0,58.69672462142519,58.712910824450425,5.115395401009534,4.180033651149747,0.0019501352489099308,0.0009980281830826664,0.02384400768850784,-0.04862162869500241,,,,
2010-01-04,13,10,58.678687623652365,58.72896021103551,4.871400307759947,4.2633545834249285,-0.00030733860814296024,0.0002733162635010772,-0.04887326537486228,0.019737014275934182,,,,
2010-01-04,13,20,58.631404409922474,58.71359684289611,4.8993986469556505,4.8704585316963165,-0.000806123590404871,-0.00026163204569850816,0.005731039182930714,0.1331317757201945,,,,
2010-01-04,13,30,58.66240013484296,58.695648070112156,3.9615708747682454,4.302039440418001,0.0005285142853415434,-0.0003057471826357731,-0.2124718403191312,-0.12409888828508767,,,,
2010-01-04,13,40,58.66918353105279,58.636794603396986,4.138636892300535,3.9534775529192836,0.00011562779612188494,-0.0010031917909482835,0.04372584839901195,-0.08449361399117371,,,,
2010-01-04,13,50,58.7319456698411,58.74431313366564,5.064313907592291,4.085519696617909,0.0010691915008740358,0.0018319568184589961,0.20185219043781427,0.032853356195975056,,,,
2010-01-04,14,0,58.663759318424034,58.59417039403548,5.310543130990415,5.055591054313099,-0.0011616499784487771,-0.0025591403103074973,0.04747544358693103,0.21304582939389857,,,,
2010-01-04,14,10,58.718747057288454,58.692640596386425,5.620324352602668,6.7568663353387395,0.0009368984286409278,0.001679135525227146,0.05669526164767886,0.29006445238835665,,,,
2010-01-04,14,20,58.72471436814734,58.719440276980244,5.325447201384882,5.968840161569533,0.00010162014626612677,0.00045650636390885116,-0.05389268667648093,-0.12400659198056371,,,,
2010-01-04,14,30,58.711175960343205,58.72481164807849,5.340024783147459,4.973482032218092,-0.00023056678543909094,9.147099179303606e-05,0.0027336044502132184,-0.18243242583599298,,,,
2010-01-04,14,40,58.75700965017822,58.78586248492092,5.383112183353438,4.958262967430639,0.0007803592423380593,0.0010390688809459126,0.008036385664923965,-0.00306473367977038,,,,
2010-01-04,14,50,58.6382734719614,58.60092942659045,8.063484562066792,6.645557655954631,-0.0020228447949027506,-0.0031508350865822104,0.40407911122654216,0.2928931385605925,,,,
2010-01-04,15,0,58.629701559816354,58.60750157785022,7.0889910738436575,5.6140113605626185,-0.0001461935734455862,0.00011214468465013807,-0.12880276317548606,-0.1686831082304094,,,,
2010-01-04,15,10,58.64962998329465,58.66045516034455,7.138139571894644,5.883106548897907,0.00033984545116155844,0.0009031211520424343,0.006909150522175949,0.04681944548820275,,,,
2010-01-04,15,20,58.6073265442026,58.58873227371799,6.837441705529647,6.852574474160083,-0.0007215510649472217,-0.0012234267399587287,-0.0430385362260877,0.15253947027070716,,,,
2010-01-04,15,30,58.50923469808744,58.50269297305465,10.902545514457534,9.277040942417003,-0.001675115252905404,-0.001469609170224015,0.4665826533946283,0.30291821467708413,,,,
2010-01-04,15,40,58.53290411526629,58.49642448473757,19.272213414213827,14.237816226649203,0.0004044597568277735,-0.00010715445482474145,0.5696680436412738,0.4283589073671279,,,,
2010-01-04,15,50,58.43520243207566,58.449432997153814,25.149109684891183,18.302417603628818,-0.0016705700177042813,-0.0008036452273674093,0.2661581566678577,0.25113162125596983,,,,
